anio_mes,anio,mes,empresa_grupo,petroleo_m3,gas_mm3,agua_m3,boe,pozos_activos
2006-01,2006,1,Kilwer,0.0,0.0,0.0,0.0,2
2006-01,2006,1,Petrobras,209.3,16.4,9.013,97753.0,5
2006-01,2006,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-01,2006,1,YPF,0.0,0.0,0.0,0.0,92
2006-02,2006,2,Kilwer,0.0,0.0,0.0,0.0,2
2006-02,2006,2,Petrobras,241.2,14.0,6.096,83651.0,5
2006-02,2006,2,Petrolera,0.0,0.0,0.0,0.0,1
2006-02,2006,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-02,2006,2,YPF,0.0,0.0,0.0,0.0,92
2006-03,2006,3,Kilwer,0.0,0.0,0.0,0.0,2
2006-03,2006,3,Petrobras,233.3,16.4,10.576,97840.0,5
2006-03,2006,3,Petrolera,30.8,1.7,30.57,10382.0,1
2006-03,2006,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-03,2006,3,YPF,0.0,0.0,0.0,0.0,92
2006-04,2006,4,Kilwer,0.0,0.0,0.0,0.0,2
2006-04,2006,4,Petrobras,212.5,15.9,8.733,95005.0,5
2006-04,2006,4,Petrolera,76.6,3.7,46.479,22337.0,1
2006-04,2006,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-04,2006,4,YPF,0.0,0.0,0.0,0.0,92
2006-05,2006,5,Kilwer,0.0,0.0,0.0,0.0,2
2006-05,2006,5,Petrobras,236.8,14.8,11.472,88684.0,5
2006-05,2006,5,Petrolera,63.3,4.2,50.536,25131.0,1
2006-05,2006,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-05,2006,5,YPF,0.0,0.0,0.0,0.0,92
2006-06,2006,6,Kilwer,0.0,0.0,0.0,0.0,2
2006-06,2006,6,Petrobras,240.4,13.6,8.866,81438.0,5
2006-06,2006,6,Petrolera,55.0,4.4,52.062,26086.0,1
2006-06,2006,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-06,2006,6,YPF,0.0,0.0,0.0,0.0,92
2006-07,2006,7,Kilwer,0.0,0.0,0.0,0.0,2
2006-07,2006,7,Petrobras,156.9,14.2,11.221,84455.0,5
2006-07,2006,7,Petrolera,58.9,3.7,45.718,22337.0,1
2006-07,2006,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-07,2006,7,YPF,0.0,0.0,0.0,0.0,92
2006-08,2006,8,Kilwer,0.0,0.0,0.0,0.0,2
2006-08,2006,8,Petrobras,231.9,15.2,17.895,90932.0,5
2006-08,2006,8,Petrolera,33.2,3.2,62.686,19115.0,1
2006-08,2006,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-08,2006,8,YPF,0.0,0.0,0.0,0.0,92
2006-09,2006,9,Kilwer,0.0,0.0,0.0,0.0,2
2006-09,2006,9,Petrobras,256.6,15.8,7.278,94819.0,5
2006-09,2006,9,Petrolera,37.3,5.7,53.206,33602.0,1
2006-09,2006,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-09,2006,9,YPF,0.0,0.0,0.0,0.0,92
2006-10,2006,10,Kilwer,0.0,0.0,0.0,0.0,2
2006-10,2006,10,Petrobras,271.5,15.1,6.433,90404.0,5
2006-10,2006,10,Petrolera,64.2,5.0,38.69,29869.0,1
2006-10,2006,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-10,2006,10,YPF,0.0,0.0,0.0,0.0,92
2006-11,2006,11,Kilwer,0.0,0.0,0.0,0.0,2
2006-11,2006,11,Petrobras,189.4,14.4,6.682,85779.0,5
2006-11,2006,11,Petrolera,62.9,2.8,52.3,16611.0,1
2006-11,2006,11,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-11,2006,11,YPF,0.0,0.0,0.0,0.0,92
2006-12,2006,12,Kilwer,0.0,0.0,0.0,0.0,2
2006-12,2006,12,Petrobras,270.4,14.7,7.053,88195.0,5
2006-12,2006,12,Petrolera,66.6,3.6,65.036,21721.0,1
2006-12,2006,12,Tecpetrol,0.0,0.0,0.0,0.0,1
2006-12,2006,12,YPF,0.0,0.0,0.0,0.0,92
2007-01,2007,1,Kilwer,0.0,0.0,0.0,0.0,2
2007-01,2007,1,Petrobras,247.3,12.9,8.278,77757.0,5
2007-01,2007,1,Petrolera,51.7,3.4,39.532,20626.0,1
2007-01,2007,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-01,2007,1,YPF,0.0,0.0,0.0,0.0,92
2007-02,2007,2,Kilwer,0.0,0.0,0.0,0.0,2
2007-02,2007,2,Petrobras,218.8,13.0,7.92,78030.0,5
2007-02,2007,2,Petrolera,39.0,2.8,30.975,16821.0,1
2007-02,2007,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-02,2007,2,YPF,0.0,0.0,0.0,0.0,92
2007-03,2007,3,Kilwer,0.0,0.0,0.0,0.0,2
2007-03,2007,3,Petrobras,201.0,14.0,10.402,83803.0,5
2007-03,2007,3,Petrolera,38.7,3.0,30.239,17725.0,1
2007-03,2007,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-03,2007,3,YPF,0.0,0.0,0.0,0.0,92
2007-04,2007,4,Kilwer,0.0,0.0,0.0,0.0,2
2007-04,2007,4,Petrobras,249.8,11.9,46.497,71444.0,5
2007-04,2007,4,Petrolera,30.9,3.3,15.146,19483.0,1
2007-04,2007,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-04,2007,4,YPF,0.0,0.0,0.0,0.0,92
2007-05,2007,5,Kilwer,0.0,0.0,0.0,0.0,2
2007-05,2007,5,Petrobras,188.2,10.9,5.353,65165.0,5
2007-05,2007,5,Petrolera,41.7,3.4,26.603,20080.0,1
2007-05,2007,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-05,2007,5,YPF,0.0,0.0,0.0,0.0,92
2007-06,2007,6,Kilwer,0.0,0.0,0.0,0.0,2
2007-06,2007,6,Petrobras,221.3,11.7,5.418,70311.0,5
2007-06,2007,6,Petrolera,42.5,2.7,44.839,15995.0,1
2007-06,2007,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-06,2007,6,YPF,0.0,0.0,0.0,0.0,92
2007-07,2007,7,Capex,2308.8,247.0,2730.0,1468364.0,1
2007-07,2007,7,Kilwer,0.0,0.0,0.0,0.0,2
2007-07,2007,7,Petrobras,202.9,13.1,5.416,78525.0,5
2007-07,2007,7,Petrolera,31.1,3.0,44.422,17571.0,1
2007-07,2007,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-07,2007,7,YPF,0.0,0.0,0.0,0.0,92
2007-08,2007,8,Capex,356.4,170.5,248.0,1005805.0,1
2007-08,2007,8,Kilwer,0.0,0.0,0.0,0.0,2
2007-08,2007,8,Petrobras,223.8,17.0,6.791,101622.0,5
2007-08,2007,8,Petrolera,40.1,3.6,41.265,21595.0,1
2007-08,2007,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-08,2007,8,TotalEnergies,0.0,0.0,0.0,0.0,1
2007-08,2007,8,YPF,0.0,0.0,0.0,0.0,92
2007-09,2007,9,Capex,1111.8,148.5,648.0,881064.0,1
2007-09,2007,9,Kilwer,0.0,0.0,0.0,0.0,2
2007-09,2007,9,Petrobras,226.1,16.9,8.656,100748.0,5
2007-09,2007,9,Petrolera,39.7,3.6,29.928,21157.0,1
2007-09,2007,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-09,2007,9,TotalEnergies,0.0,0.0,0.0,0.0,1
2007-09,2007,9,YPF,0.0,0.0,0.0,0.0,92
2007-10,2007,10,Capex,502.0,108.5,1193.5,641789.0,1
2007-10,2007,10,Kilwer,0.0,0.0,0.0,0.0,2
2007-10,2007,10,Petrobras,278.5,17.2,10.244,102932.0,5
2007-10,2007,10,Petrolera,37.9,4.4,29.14,26101.0,1
2007-10,2007,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-10,2007,10,TotalEnergies,0.0,0.0,0.0,0.0,1
2007-10,2007,10,YPF,0.0,0.0,0.0,0.0,92
2007-11,2007,11,Capex,125.2,75.0,780.0,442237.0,1
2007-11,2007,11,Kilwer,0.0,0.0,0.0,0.0,2
2007-11,2007,11,Petrolera,288.2,19.6,26.447,116966.0,6
2007-11,2007,11,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-11,2007,11,TotalEnergies,0.0,0.0,0.0,0.0,1
2007-11,2007,11,YPF,0.0,0.0,0.0,0.0,92
2007-12,2007,12,Capex,60.6,62.0,558.0,365313.0,1
2007-12,2007,12,Kilwer,0.0,0.0,0.0,0.0,2
2007-12,2007,12,Petrolera,299.8,22.2,40.271,132291.0,6
2007-12,2007,12,Tecpetrol,0.0,0.0,0.0,0.0,1
2007-12,2007,12,TotalEnergies,0.0,0.0,0.0,0.0,1
2007-12,2007,12,YPF,0.0,0.0,0.0,0.0,92
2008-01,2008,1,Capex,31.9,36.8,288.0,216805.0,1
2008-01,2008,1,Kilwer,0.0,0.0,0.0,0.0,2
2008-01,2008,1,Petrolera,308.4,22.7,36.169,135334.0,6
2008-01,2008,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-01,2008,1,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-01,2008,1,YPF,0.0,0.0,0.0,0.0,92
2008-02,2008,2,Capex,73.8,54.0,18.0,318308.0,1
2008-02,2008,2,Kilwer,0.0,0.0,0.0,0.0,2
2008-02,2008,2,Petrolera,272.8,19.5,33.31699999999999,116409.0,6
2008-02,2008,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-02,2008,2,YPF,0.0,0.0,0.0,0.0,92
2008-03,2008,3,Capex,110.6,66.0,11.0,389172.0,1
2008-03,2008,3,Kilwer,0.0,0.0,0.0,0.0,2
2008-03,2008,3,Petrolera,281.8,17.8,39.62,106391.0,6
2008-03,2008,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-03,2008,3,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-03,2008,3,YPF,0.0,0.0,0.0,0.0,94
2008-04,2008,4,Capex,4.3,3.2,0.2,18862.0,1
2008-04,2008,4,Kilwer,0.0,0.0,0.0,0.0,2
2008-04,2008,4,Petrolera,191.5,2.5,37.416999999999994,15778.0,6
2008-04,2008,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-04,2008,4,YPF,0.0,0.0,0.0,0.0,95
2008-05,2008,5,Capex,22.5,14.0,2.0,82545.0,1
2008-05,2008,5,Kilwer,0.0,0.0,0.0,0.0,2
2008-05,2008,5,Petrolera,94.9,2.7,26.245,16360.0,6
2008-05,2008,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-05,2008,5,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-05,2008,5,YPF,0.0,0.0,0.0,0.0,96
2008-06,2008,6,Capex,123.4,88.0,14.67,518744.0,1
2008-06,2008,6,Kilwer,0.0,0.0,0.0,0.0,2
2008-06,2008,6,Petrolera,463.3,28.1,33.537,168293.0,6
2008-06,2008,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-06,2008,6,YPF,0.0,0.0,0.0,0.0,96
2008-07,2008,7,Capex,222.2,131.2,29.17,773935.0,1
2008-07,2008,7,Kilwer,0.0,0.0,0.0,0.0,2
2008-07,2008,7,Petrolera,513.7,35.0,40.528,209070.0,6
2008-07,2008,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-07,2008,7,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-07,2008,7,YPF,0.0,0.0,0.0,0.0,96
2008-08,2008,8,Capex,199.6,135.0,30.0,795865.0,1
2008-08,2008,8,Kilwer,0.0,0.0,0.0,0.0,2
2008-08,2008,8,Petrolera,578.1,72.0,42.939,427269.0,6
2008-08,2008,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-08,2008,8,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-08,2008,8,YPF,0.0,0.0,0.0,0.0,96
2008-09,2008,9,Capex,154.7,111.2,27.79,655320.0,1
2008-09,2008,9,Kilwer,0.0,0.0,0.0,0.0,2
2008-09,2008,9,Petrolera,495.7,33.6,52.09,200987.0,6
2008-09,2008,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-09,2008,9,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-10,2008,10,Capex,151.9,105.6,30.17,622399.0,1
2008-10,2008,10,Kilwer,0.0,0.0,0.0,0.0,2
2008-10,2008,10,Petrolera,921.6,72.8,563.569,434257.0,6
2008-10,2008,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-10,2008,10,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-11,2008,11,Capex,128.3,90.0,30.0,530547.0,1
2008-11,2008,11,Kilwer,0.0,0.0,0.0,0.0,2
2008-11,2008,11,Petrolera,972.1,83.6,312.226,498202.0,6
2008-11,2008,11,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-11,2008,11,TotalEnergies,0.0,0.0,0.0,0.0,1
2008-12,2008,12,Capex,110.4,82.6,22.03,487055.0,1
2008-12,2008,12,Kilwer,0.0,0.0,0.0,0.0,2
2008-12,2008,12,Petrolera,840.3,85.1,261.036,506402.0,6
2008-12,2008,12,Tecpetrol,0.0,0.0,0.0,0.0,1
2008-12,2008,12,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-01,2009,1,Capex,138.9,75.8,12.63,446738.0,1
2009-01,2009,1,Kilwer,0.0,0.0,0.0,0.0,2
2009-01,2009,1,Petrolera,869.6,96.8,222.493,575169.0,6
2009-01,2009,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-01,2009,1,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-02,2009,2,Capex,118.9,79.0,26.33,465742.0,1
2009-02,2009,2,Kilwer,0.0,0.0,0.0,0.0,2
2009-02,2009,2,Petrolera,802.3,91.3,225.88,542710.0,6
2009-02,2009,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-02,2009,2,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-03,2009,3,Capex,108.8,64.1,21.38,378153.0,1
2009-03,2009,3,Kilwer,0.0,0.0,0.0,0.0,2
2009-03,2009,3,Petrolera,719.3,78.0,247.573,463622.0,6
2009-03,2009,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-03,2009,3,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-04,2009,4,Capex,93.7,64.8,21.58,381708.0,1
2009-04,2009,4,Kilwer,0.0,0.0,0.0,0.0,2
2009-04,2009,4,Petrolera,635.6,92.5,171.86700000000002,548412.0,6
2009-04,2009,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-04,2009,4,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-05,2009,5,Capex,110.3,65.6,21.88,386992.0,1
2009-05,2009,5,Kilwer,0.0,0.0,0.0,0.0,2
2009-05,2009,5,Petrolera,652.8,97.4,260.273,577539.0,6
2009-05,2009,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-05,2009,5,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-06,2009,6,Capex,136.6,83.8,23.96,494401.0,1
2009-06,2009,6,Kilwer,0.0,0.0,0.0,0.0,2
2009-06,2009,6,Petrolera,607.7,95.0,261.289,562915.0,6
2009-06,2009,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-06,2009,6,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-07,2009,7,Capex,90.7,74.0,18.5,436135.0,1
2009-07,2009,7,Kilwer,0.0,0.0,0.0,0.0,2
2009-07,2009,7,Petrolera,522.9,97.6,295.631,577592.0,6
2009-07,2009,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-07,2009,7,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-08,2009,8,Capex,82.4,75.8,18.96,446854.0,1
2009-08,2009,8,Kilwer,0.0,0.0,0.0,0.0,2
2009-08,2009,8,Petrolera,616.2,130.4,258.975,771493.0,6
2009-08,2009,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-08,2009,8,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-09,2009,9,Capex,103.0,116.7,23.33,687367.0,1
2009-09,2009,9,Kilwer,0.0,0.0,0.0,0.0,2
2009-09,2009,9,Petrolera,572.1,105.9,213.907,626949.0,6
2009-09,2009,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-09,2009,9,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-10,2009,10,Capex,80.6,110.6,17.7,651675.0,1
2009-10,2009,10,Kilwer,0.0,0.0,0.0,0.0,2
2009-10,2009,10,Petrolera,687.5,112.5,244.745,666505.0,6
2009-10,2009,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-10,2009,10,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-11,2009,11,Capex,59.8,74.6,11.93,439354.0,1
2009-11,2009,11,Kilwer,0.0,0.0,0.0,0.0,2
2009-11,2009,11,Petrolera,579.7,103.3,319.865,611705.0,6
2009-11,2009,11,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-11,2009,11,TotalEnergies,0.0,0.0,0.0,0.0,1
2009-12,2009,12,Capex,69.2,66.1,15.1,389264.0,1
2009-12,2009,12,Kilwer,0.0,0.0,0.0,0.0,2
2009-12,2009,12,Petrolera,572.2,64.9,327.259,385406.0,6
2009-12,2009,12,Tecpetrol,0.0,0.0,0.0,0.0,1
2009-12,2009,12,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-01,2010,1,Capex,46.6,52.2,9.13,307366.0,1
2010-01,2010,1,Kilwer,0.0,0.0,0.0,0.0,2
2010-01,2010,1,Petrolera,616.9,74.8,291.052,444277.0,6
2010-01,2010,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-01,2010,1,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-02,2010,2,Capex,43.5,60.0,12.0,353433.0,1
2010-02,2010,2,Kilwer,0.0,0.0,0.0,0.0,2
2010-02,2010,2,Petrolera,546.0,78.4,283.607,464638.0,6
2010-02,2010,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-02,2010,2,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-03,2010,3,Capex,68.2,96.7,23.2,569429.0,1
2010-03,2010,3,Kilwer,0.0,0.0,0.0,0.0,2
2010-03,2010,3,Petrolera,618.2,74.6,297.336,442725.0,6
2010-03,2010,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-03,2010,3,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-04,2010,4,Capex,79.3,116.9,21.04,688454.0,1
2010-04,2010,4,Kilwer,0.0,0.0,0.0,0.0,2
2010-04,2010,4,Petrolera,594.7,64.9,312.442,385454.0,6
2010-04,2010,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-04,2010,4,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-05,2010,5,Capex,99.3,101.9,32.6,600291.0,1
2010-05,2010,5,Kilwer,0.0,0.0,0.0,0.0,2
2010-05,2010,5,Petrolera,535.9,66.1,300.192,392677.0,6
2010-05,2010,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-05,2010,5,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-06,2010,6,Capex,62.1,85.0,28.9,500701.0,1
2010-06,2010,6,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-06,2010,6,Kilwer,0.0,0.0,0.0,0.0,2
2010-06,2010,6,Petrolera,512.0,80.9,377.271,479622.0,6
2010-06,2010,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-06,2010,6,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-07,2010,7,Capex,62.7,98.5,33.5,580401.0,1
2010-07,2010,7,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-07,2010,7,Kilwer,0.0,0.0,0.0,0.0,2
2010-07,2010,7,Petrolera,695.8,119.6,1039.496,708489.0,6
2010-07,2010,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-07,2010,7,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-07,2010,7,YPF,39.2,229.7,2056.04,1352261.0,1
2010-08,2010,8,Capex,56.0,77.1,12.33,454045.0,1
2010-08,2010,8,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-08,2010,8,Kilwer,0.0,0.0,0.0,0.0,2
2010-08,2010,8,Petrolera,1223.9,148.7,805.088,882676.0,6
2010-08,2010,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-08,2010,8,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-08,2010,8,YPF,84.5,318.0,391.85,1872103.0,1
2010-09,2010,9,Capex,31.0,46.5,7.43,273659.0,1
2010-09,2010,9,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-09,2010,9,Kilwer,0.0,0.0,0.0,0.0,2
2010-09,2010,9,Petrolera,1110.2,137.7,1144.609,817261.0,6
2010-09,2010,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-09,2010,9,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-09,2010,9,YPF,154.7,338.6,354.93,1994208.0,1
2010-10,2010,10,Capex,62.1,96.5,19.29,568154.0,1
2010-10,2010,10,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-10,2010,10,Kilwer,0.0,0.0,0.0,0.0,2
2010-10,2010,10,Petrolera,1045.3,138.6,993.3929999999999,822576.0,6
2010-10,2010,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-10,2010,10,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-10,2010,10,YPF,113.8,307.3,187.79,1809425.0,1
2010-11,2010,11,Capex,54.8,70.6,5.65,416073.0,1
2010-11,2010,11,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-11,2010,11,Kilwer,0.0,0.0,0.0,0.0,2
2010-11,2010,11,Petrolera,904.6,126.7,713.563,751470.0,6
2010-11,2010,11,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-11,2010,11,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-11,2010,11,YPF,548.6,351.4,753.71,2071849.0,2
2010-12,2010,12,Capex,96.8,128.1,10.25,754782.0,1
2010-12,2010,12,Gas y Petróleo Nqn,0.0,0.0,0.0,0.0,7
2010-12,2010,12,Kilwer,0.0,0.0,0.0,0.0,2
2010-12,2010,12,Petrolera,877.2,152.8,608.1719999999999,904874.0,6
2010-12,2010,12,Tecpetrol,0.0,0.0,0.0,0.0,1
2010-12,2010,12,TotalEnergies,0.0,0.0,0.0,0.0,1
2010-12,2010,12,YPF,688.0,147.6,135.63,873042.0,2
2011-01,2011,1,Capex,60.4,73.1,7.31,430823.0,1
2011-01,2011,1,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-01,2011,1,Kilwer,0.0,0.0,0.0,0.0,2
2011-01,2011,1,Petrolera,908.2,182.5,887.259,1080167.0,6
2011-01,2011,1,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-01,2011,1,TotalEnergies,0.0,0.0,0.0,0.0,1
2011-01,2011,1,YPF,486.0,191.8,63.75,1132227.0,2
2011-02,2011,2,Capex,54.9,60.4,4.83,355978.0,1
2011-02,2011,2,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-02,2011,2,Kilwer,0.0,0.0,0.0,0.0,2
2011-02,2011,2,Petrolera,810.1,132.4,626.011,784503.0,6
2011-02,2011,2,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-02,2011,2,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-02,2011,2,YPF,776.1,134.6,1150.6299999999999,797079.0,4
2011-03,2011,3,Capex,43.0,55.4,7.76,326473.0,1
2011-03,2011,3,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-03,2011,3,Kilwer,0.0,0.0,0.0,0.0,2
2011-03,2011,3,Petrolera,761.4,156.6,748.217,926719.0,6
2011-03,2011,3,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-03,2011,3,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-03,2011,3,YPF,1449.2,208.7,687.37,1237700.0,4
2011-04,2011,4,Capex,45.3,69.0,12.41,406184.0,1
2011-04,2011,4,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-04,2011,4,Kilwer,0.0,0.0,0.0,0.0,2
2011-04,2011,4,Petrolera,648.7,145.0,687.255,857785.0,6
2011-04,2011,4,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-04,2011,4,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-04,2011,4,YPF,1660.9,267.0,717.2099999999999,1582067.0,5
2011-05,2011,5,Capex,86.0,124.8,22.46,735055.0,1
2011-05,2011,5,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-05,2011,5,Kilwer,0.0,0.0,0.0,0.0,2
2011-05,2011,5,Petrolera,696.3,150.6,787.779,890622.0,6
2011-05,2011,5,Roch,0.0,0.0,0.0,0.0,1
2011-05,2011,5,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-05,2011,5,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-05,2011,5,YPF,2068.8,509.4,924.5699999999999,3011636.0,6
2011-06,2011,6,Capex,72.2,94.2,15.07,554739.0,1
2011-06,2011,6,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-06,2011,6,Kilwer,0.0,0.0,0.0,0.0,2
2011-06,2011,6,Petrolera,620.0,136.9,866.749,809806.0,6
2011-06,2011,6,Roch,83.5,0.0,91.109,525.0,1
2011-06,2011,6,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-06,2011,6,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-06,2011,6,YPF,1808.8,641.0,1673.15,3784303.0,8
2011-07,2011,7,Capex,60.2,78.1,9.38,460252.0,1
2011-07,2011,7,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-07,2011,7,Kilwer,0.0,0.0,0.0,0.0,2
2011-07,2011,7,Petrolera,645.8,142.8,947.251,844459.0,6
2011-07,2011,7,Roch,93.4,0.0,24.498,587.0,1
2011-07,2011,7,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-07,2011,7,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-07,2011,7,YPF,1821.7,590.2,852.65,3485671.0,10
2011-08,2011,8,Capex,68.7,92.1,9.21,542415.0,1
2011-08,2011,8,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-08,2011,8,Kilwer,0.0,0.0,0.0,0.0,1
2011-08,2011,8,Petrolera,688.7,150.7,758.637,891139.0,6
2011-08,2011,8,Roch,23.0,0.0,0.0,145.0,1
2011-08,2011,8,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-08,2011,8,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-08,2011,8,YPF,5856.2,2828.2,3692.51,16683385.0,13
2011-09,2011,9,Capex,70.2,110.2,11.02,649138.0,1
2011-09,2011,9,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-09,2011,9,Petrolera,644.7,142.8,688.192,844866.0,6
2011-09,2011,9,Roch,16.1,0.0,0.0,101.0,1
2011-09,2011,9,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-09,2011,9,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-09,2011,9,YPF,9084.2,4940.4,7154.15,29136215.0,14
2011-10,2011,10,Capex,50.2,85.2,13.63,501862.0,1
2011-10,2011,10,ExxonMobil,0.0,0.0,0.0,0.0,1
2011-10,2011,10,Petrolera,672.8,128.4,737.953,760071.0,6
2011-10,2011,10,Roch,0.0,0.0,0.0,0.0,1
2011-10,2011,10,Tecpetrol,0.0,0.0,0.0,0.0,1
2011-10,2011,10,TotalEnergies,0.0,0.0,0.0,0.0,3
2011-10,2011,10,YPF,7943.7,4749.4,7602.330000000001,28004757.0,16
